Year	Clutch	HatchlingID	HatchlingNumber	EggMass	IncTemp	MaxIncLength	ScaledDevMaxIncLength	AgeAtTrials	WinterHous	DaysWintHous	SCL2	CW2	PL2	PW2	BD2	NV2	VT2	Mass2	Round	RRTimeSec	LatencySec	ActiveRRTimeSec	RRTimeMin	LatencyMin	ActiveRRTimeMin
2019	7	36	7-3	12.7445	30	60	0	227	Terrestrial	151	34.61	35.95	32.45	26.36	15.93	2.58	11.41	9.0281	1	118	116	2	1.966666667	1.933333333	0.033333333
2019	7	36	7-3	12.7445	30	60	0	227	Terrestrial	151	34.61	35.95	32.45	26.36	15.93	2.58	11.41	9.0281	2	357	351	6	5.95	5.85	0.1
2019	7	36	7-3	12.7445	30	60	0	227	Terrestrial	151	34.61	35.95	32.45	26.36	15.93	2.58	11.41	9.0281	3	165	113	52	2.75	1.883333333	0.866666667
2019	7	37	7-4	13.6449	32	54	-1.1348	236	Terrestrial	151	36.16	37.15	33.02	28.07	16.01	2.78	9.99	9.0329	1	357	36	321	5.95	0.6	5.35
2019	7	37	7-4	13.6449	32	54	-1.1348	236	Terrestrial	151	36.16	37.15	33.02	28.07	16.01	2.78	9.99	9.0329	2	144	13	131	2.4	0.216666667	2.183333333
2019	7	37	7-4	13.6449	32	54	-1.1348	236	Terrestrial	151	36.16	37.15	33.02	28.07	16.01	2.78	9.99	9.0329	3	2	1	1	0.033333333	0.016666667	0.016666667
2019	7	38	7-5	13.5954	26	85	-0.2445	204	Aquatic	200	37.13	38.52	35.43	27.79	17.84	3.76	11.72	11.7004	1	238	235	3	3.966666667	3.916666667	0.05
2019	7	38	7-5	13.5954	26	85	-0.2445	204	Aquatic	200	37.13	38.52	35.43	27.79	17.84	3.76	11.72	11.7004	2	205	202	3	3.416666667	3.366666667	0.05
2019	7	38	7-5	13.5954	26	85	-0.2445	204	Aquatic	200	37.13	38.52	35.43	27.79	17.84	3.76	11.72	11.7004	3	80	78	2	1.333333333	1.3	0.033333333
2019	7	39	7-7	10.0275	28	68	0	219	Aquatic	214	37.65	37.97	35.15	27.61	18.29	2.55	10.55	11.2076	1	221	137	84	3.683333333	2.283333333	1.4
2019	7	39	7-7	10.0275	28	68	0	219	Aquatic	214	37.65	37.97	35.15	27.61	18.29	2.55	10.55	11.2076	2	335	331	4	5.583333333	5.516666667	0.066666667
2019	7	39	7-7	10.0275	28	68	0	219	Aquatic	214	37.65	37.97	35.15	27.61	18.29	2.55	10.55	11.2076	3	463	157	306	7.716666667	2.616666667	5.1
2019	7	40	7-8	9.2667	24	105	-0.323	186	Terrestrial	151	30.43	30.9	27.62	21.47	13.73	3.27	10.09	5.9989	1	1150	64	1086	19.16666667	1.066666667	18.1
